_id,REPORT_ID,TIMESTAMP,status,avgMeasuredTime,medianMeasuredTime,vehicleCount,avgSpeed
630,539566,2024-03-22T07:15:00,OK,0,0,0,0
631,3106522,2024-03-22T07:15:00,OK,0,0,0,0
632,7145176,2024-03-22T07:15:00,OK,0,0,0,0
633,299940,2024-03-22T07:15:00,OK,0,0,0,0
634,1140148,2024-03-22T07:15:00,OK,0,0,0,0
635,1150130,2024-03-22T07:15:00,OK,0,0,0,0
636,8175753,2024-03-22T07:15:00,OK,0,0,0,0
637,1151652,2024-03-22T07:15:00,OK,0,0,0,0
638,1145715,2024-03-22T07:15:00,OK,0,0,0,0
639,539433,2024-03-22T07:15:00,OK,0,0,0,0
640,1151078,2024-03-22T07:15:00,OK,0,0,0,0
641,539195,2024-03-22T07:15:00,OK,0,0,0,0
642,7145939,2024-03-22T07:15:00,OK,0,0,0,0
643,8184089,2024-03-22T07:15:00,OK,0,0,0,0
644,1150974,2024-03-22T07:15:00,OK,0,0,0,0
645,300232,2024-03-22T07:15:00,OK,0,0,0,0
646,10640330,2024-03-22T07:15:00,OK,0,0,0,0
647,16714853,2024-03-22T07:15:00,OK,0,0,0,0
648,8176263,2024-03-22T07:15:00,OK,0,0,0,0
649,6062532,2024-03-22T07:15:00,OK,0,0,0,0
650,300100,2024-03-22T07:15:00,OK,0,0,0,0
651,16716485,2024-03-22T07:15:00,OK,0,0,0,0
652,1148660,2024-03-22T07:15:00,OK,0,0,0,0
653,1219539,2024-03-22T07:15:00,OK,0,0,0,0
654,7149155,2024-03-22T07:15:00,OK,0,0,0,0
655,7145802,2024-03-22T07:15:00,OK,0,0,0,0
656,1150880,2024-03-22T07:15:00,OK,0,0,0,0
657,16716845,2024-03-22T07:15:00,OK,0,0,0,0
658,7146464,2024-03-22T07:15:00,OK,0,0,0,0
659,1149090,2024-03-22T07:15:00,OK,0,0,0,0
660,7145655,2024-03-22T07:15:00,OK,0,0,0,0
661,1201402,2024-03-22T07:15:00,OK,0,0,0,0
662,1139988,2024-03-22T07:15:00,OK,0,0,0,0
663,1151580,2024-03-22T07:15:00,OK,0,0,0,0
664,1149010,2024-03-22T07:15:00,OK,0,0,0,0
665,7148574,2024-03-22T07:15:00,OK,0,0,0,0
666,6062665,2024-03-22T07:15:00,OK,0,0,0,0
667,1139749,2024-03-22T07:15:00,OK,0,0,0,0
668,8176413,2024-03-22T07:15:00,OK,0,0,0,0
669,957965,2024-03-22T07:15:00,OK,0,0,0,0
